三效液相温度,三效气相温度,三效蒸发室气相压力,出料泵电流1,出料泵电流2,出料流量
50.962498,46.837498,-80.790001,11.1717,0.0207,1.0
50.790001,46.709999,-80.790001,11.1114,0.0207,1.0
50.767502,46.5075,-80.849998,11.1402,0.0207,1.0
53.092499,46.830002,-79.520004,11.091599,0.0207,1.0
54.172501,47.392502,-79.110001,11.0844,0.0207,1.0
54.809998,48.172501,-78.919998,11.0736,0.0207,1.0
54.6525,48.57,-79.0,11.0259,0.0207,1.0
52.785,48.907501,-80.029999,11.0421,0.0207,1.0
51.697498,48.315002,-80.529999,11.1276,0.0207,1.0
51.787502,47.887497,-80.489998,11.0907,0.0207,1.0
51.817501,47.475002,-80.470001,11.124,0.0207,1.0
51.6675,47.294998,-80.5,11.1177,0.0207,1.0
51.705002,47.25,-80.540001,11.1249,0.0207,1.0
51.547501,47.197498,-80.520004,11.0979,0.0207,1.0
51.495003,47.145,-80.619995,11.1213,0.0207,1.0
51.389999,47.077499,-80.729996,11.1546,0.0207,1.0
51.285,47.002499,-80.760002,11.0934,0.0207,1.0
51.232498,46.912502,-80.790001,11.012401,0.0207,1.0
51.127499,46.822502,-80.82,11.1492,0.0207,1.0
51.007504,46.732498,-80.940002,11.033999,0.0207,1.0
50.902496,46.642502,-80.93,11.1717,0.0207,1.0
50.797497,46.544998,-80.989998,11.1114,0.0207,1.0
50.73,46.455002,-81.050003,11.1609,0.0207,1.0
50.625,46.372501,-81.059998,11.0988,0.0207,1.0
52.199997,47.482498,-80.410004,11.1213,0.0207,1.0
51.614998,47.415001,-80.619995,11.027699,0.0207,1.0
51.247501,47.235001,-80.849998,11.0889,0.0207,1.0
51.022499,47.032501,-80.849998,11.0646,0.0207,1.0
50.834999,46.822502,-80.979996,11.088,0.0207,1.0
51.127499,46.537502,-80.790001,11.0421,0.0207,1.0
50.872501,46.522499,-80.860001,11.1096,0.0207,1.0
50.977501,46.462498,-80.839996,11.0691,0.0207,1.0
51.014999,46.462498,-80.889999,11.0781,0.0207,1.0
50.939999,46.447502,-80.839996,11.052,0.0207,1.0
52.0425,46.5,-80.040001,11.043,0.0207,1.0
52.935001,46.845001,-79.779999,10.998,0.0207,1.0
53.715,47.475002,-79.379997,11.027699,0.0207,1.0
53.789997,47.962502,-79.440002,10.926,0.0207,1.0
52.9725,48.225002,-80.110001,10.9494,0.0207,1.0
51.8475,48.074997,-80.470001,10.98,0.0207,1.0
51.735001,47.640003,-80.410004,10.954801,0.0207,1.0
51.817501,47.512497,-80.470001,10.953,0.0207,1.0
51.802498,47.422501,-80.470001,11.0367,0.0207,1.0
51.547501,47.182503,-80.599998,11.0367,0.0207,1.0
51.600002,47.084999,-80.57,10.975499,0.0207,1.0
51.547501,47.0625,-80.610001,11.0781,0.0207,1.0
51.600002,47.0625,-80.650002,10.9665,0.0207,1.0
51.4575,47.040001,-80.610001,11.027699,0.0207,1.0
51.465,47.017502,-80.690002,10.9773,0.0207,1.0
51.352501,46.98,-80.629997,11.1222,0.0207,1.0
51.442497,46.9575,-80.660004,10.988999,0.0207,1.0
51.389999,46.927498,-80.699997,11.0673,0.0207,1.0
51.247501,46.852501,-80.769997,11.0304,0.0216,1.0
51.7425,46.837498,-80.43,11.0745,0.0216,1.0
53.4375,47.107498,-79.68,11.033999,0.0207,1.0
52.9725,48.120003,-79.970001,11.0574,0.0216,1.0
52.199997,48.09,-80.479996,10.9863,0.0216,1.0
50.955002,47.580002,-80.82,11.1105,0.0216,1.0
52.9725,47.745003,-80.029999,11.021399,0.0216,1.0
52.515003,48.344997,-80.330002,11.0763,0.0216,1.0
52.005001,48.442501,-80.550003,11.1294,0.0216,1.0
52.395,48.404999,-79.82,11.1042,0.0207,1.0
53.400002,48.4725,-79.729996,11.043,0.0207,1.0
53.797501,48.862499,-79.830002,10.948501,0.0216,1.0
51.982498,48.4575,-80.360001,11.0421,0.0216,1.0
54.352497,48.779999,-79.279999,11.1015,0.0216,1.0
52.087502,49.012501,-80.360001,11.0493,0.0216,1.0
52.252499,49.005001,-80.25,11.088,0.0216,1.0
54.427502,49.372498,-79.269997,11.0862,0.0216,1.0
52.154999,49.755001,-80.380005,11.0349,0.0216,1.0
54.0075,49.432499,-79.379997,11.0421,0.0216,1.0
54.232502,49.514999,-79.300003,10.948501,0.0207,1.0
52.162502,49.305,-80.349998,11.079,0.0216,1.0
52.064999,49.702499,-80.459999,11.033999,0.0216,1.0
53.190002,49.305,-79.68,11.0628,0.0216,1.0
53.610001,49.357502,-79.720001,11.0781,0.0216,1.0
53.460003,49.5075,-79.779999,11.088,0.0207,1.0
53.040001,49.664997,-79.93,11.027699,0.0216,1.0
52.297501,49.732502,-80.479996,11.0925,0.0216,1.0
51.2775,49.605003,-80.889999,11.0151,0.0207,1.0
51.495003,49.41,-80.720001,11.0754,0.0216,1.0
53.3325,49.32,-79.770004,11.170799,0.0216,1.0
53.489998,49.342499,-79.790001,11.0439,0.0207,1.0
53.302498,49.440002,-79.910004,11.106,0.0207,1.0
53.272503,49.537498,-79.959999,11.1159,0.0207,1.0
52.612499,49.5975,-80.290001,10.980901,0.0207,1.0
52.080002,49.545002,-80.529999,11.0448,0.0207,1.0
51.697498,49.417503,-80.769997,11.07,0.0207,1.0
51.345001,49.230003,-80.809998,11.061,0.0207,1.0
51.345001,49.042503,-80.919998,11.130301,0.0207,1.0
53.752502,48.997498,-79.599998,11.1069,0.0207,1.0
53.325001,49.394997,-80.160004,11.162701,0.0207,1.0
52.515003,49.0275,-80.130005,11.0601,0.0207,1.0
54.345001,48.982502,-79.349998,11.1222,0.0207,1.0
54.3675,49.207497,-79.349998,11.1042,0.0207,1.0
54.292503,49.387501,-79.520004,11.0979,0.0207,1.0
52.282497,49.1175,-80.43,11.1987,0.0207,1.0
52.455002,48.7425,-80.270004,11.1357,0.0216,1.0
54.442501,48.712502,-79.269997,11.1294,0.0207,1.0
54.637501,48.989998,-79.220001,11.132999,0.0216,1.0
